ONET_SOC_Code,Occupation,Hist_Ref_2013,MAEI_2026_Score,MAEI_Pure_2026,Anchor_Bias,Exposure_Delta,Score_Source,Mapping_Method,SOC_Major_Group,Data_Flag,Score_Std_Dev,Change_Category,Risk_Tier_2026,Risk_Level,Risk_Factor_1,Risk_Factor_2,Risk_Factor_3,Risk_Factor_4,Risk_Factor_5,Protective_Factor_1,Protective_Factor_2,Protective_Factor_3,Protective_Factor_4,Protective_Factor_5,Explanation,OCC_TITLE,TOT_EMP,A_MEDIAN,H_MEDIAN
55-1014.00,Artillery and Missile Officers,44.95,54.75,54.75,0.0,9.8,model_predicted,unmapped,55,,0.43,Moderate Increase,Medium,MEDIUM,High reliance on nlp_topic_tools_machines (value=0.02) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_maintenance_repair (value=0.02) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_medical_patients (value=0.00) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_customer_service_food (value=0.00) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_data_software (value=0.02) [Vulnerable to cognitive/routine automation],Low levels of nlp_topic_equipment_materials (value=0.04) [Lack of this reduces exposure to routine automation],High reliance on nlp_topic_education: students (value=0.00) [Provides some protection against standard automation],High reliance on nlp_topic_food_environmental (value=-0.00) [Provides some protection against standard automation],Low levels of task_avg_importance (value=4.00) [Lack of this reduces exposure to routine automation],Low levels of finger dexterity (value=2.75) [Lack of this reduces exposure to routine automation],"This occupation has MODERATE AI-task overlap (score: 55/100). Risk is driven by high levels of nlp_topic_tools_machines. Protection is primarily from a lack of nlp_topic_equipment_materials. Since 2013, risk has increased by 9.8 points, driven by changes in nlp_topic_tools_machines.",,,,
55-1015.00,Command and Control Center Officers,44.95,54.75,54.75,0.0,9.8,model_predicted,unmapped,55,,0.43,Moderate Increase,Medium,MEDIUM,High reliance on nlp_topic_tools_machines (value=0.02) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_maintenance_repair (value=0.02) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_medical_patients (value=0.00) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_customer_service_food (value=0.00) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_data_software (value=0.02) [Vulnerable to cognitive/routine automation],Low levels of nlp_topic_equipment_materials (value=0.04) [Lack of this reduces exposure to routine automation],High reliance on nlp_topic_education: students (value=0.00) [Provides some protection against standard automation],High reliance on nlp_topic_food_environmental (value=-0.00) [Provides some protection against standard automation],Low levels of task_avg_importance (value=4.00) [Lack of this reduces exposure to routine automation],Low levels of finger dexterity (value=2.75) [Lack of this reduces exposure to routine automation],"This occupation has MODERATE AI-task overlap (score: 55/100). Risk is driven by high levels of nlp_topic_tools_machines. Protection is primarily from a lack of nlp_topic_equipment_materials. Since 2013, risk has increased by 9.8 points, driven by changes in nlp_topic_tools_machines.",,,,
55-3018.00,Special Forces,44.95,54.75,54.75,0.0,9.8,model_predicted,unmapped,55,,0.43,Moderate Increase,Medium,MEDIUM,High reliance on nlp_topic_tools_machines (value=0.02) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_maintenance_repair (value=0.02) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_medical_patients (value=0.00) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_customer_service_food (value=0.00) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_data_software (value=0.02) [Vulnerable to cognitive/routine automation],Low levels of nlp_topic_equipment_materials (value=0.04) [Lack of this reduces exposure to routine automation],High reliance on nlp_topic_education: students (value=0.00) [Provides some protection against standard automation],High reliance on nlp_topic_food_environmental (value=-0.00) [Provides some protection against standard automation],Low levels of task_avg_importance (value=4.00) [Lack of this reduces exposure to routine automation],Low levels of finger dexterity (value=2.75) [Lack of this reduces exposure to routine automation],"This occupation has MODERATE AI-task overlap (score: 55/100). Risk is driven by high levels of nlp_topic_tools_machines. Protection is primarily from a lack of nlp_topic_equipment_materials. Since 2013, risk has increased by 9.8 points, driven by changes in nlp_topic_tools_machines.",,,,
55-3016.00,Infantry,44.95,54.75,54.75,0.0,9.8,model_predicted,unmapped,55,,0.43,Moderate Increase,Medium,MEDIUM,High reliance on nlp_topic_tools_machines (value=0.02) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_maintenance_repair (value=0.02) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_medical_patients (value=0.00) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_customer_service_food (value=0.00) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_data_software (value=0.02) [Vulnerable to cognitive/routine automation],Low levels of nlp_topic_equipment_materials (value=0.04) [Lack of this reduces exposure to routine automation],High reliance on nlp_topic_education: students (value=0.00) [Provides some protection against standard automation],High reliance on nlp_topic_food_environmental (value=-0.00) [Provides some protection against standard automation],Low levels of task_avg_importance (value=4.00) [Lack of this reduces exposure to routine automation],Low levels of finger dexterity (value=2.75) [Lack of this reduces exposure to routine automation],"This occupation has MODERATE AI-task overlap (score: 55/100). Risk is driven by high levels of nlp_topic_tools_machines. Protection is primarily from a lack of nlp_topic_equipment_materials. Since 2013, risk has increased by 9.8 points, driven by changes in nlp_topic_tools_machines.",,,,
55-3015.00,Command and Control Center Specialists,44.95,54.75,54.75,0.0,9.8,model_predicted,unmapped,55,,0.43,Moderate Increase,Medium,MEDIUM,High reliance on nlp_topic_tools_machines (value=0.02) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_maintenance_repair (value=0.02) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_medical_patients (value=0.00) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_customer_service_food (value=0.00) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_data_software (value=0.02) [Vulnerable to cognitive/routine automation],Low levels of nlp_topic_equipment_materials (value=0.04) [Lack of this reduces exposure to routine automation],High reliance on nlp_topic_education: students (value=0.00) [Provides some protection against standard automation],High reliance on nlp_topic_food_environmental (value=-0.00) [Provides some protection against standard automation],Low levels of task_avg_importance (value=4.00) [Lack of this reduces exposure to routine automation],Low levels of finger dexterity (value=2.75) [Lack of this reduces exposure to routine automation],"This occupation has MODERATE AI-task overlap (score: 55/100). Risk is driven by high levels of nlp_topic_tools_machines. Protection is primarily from a lack of nlp_topic_equipment_materials. Since 2013, risk has increased by 9.8 points, driven by changes in nlp_topic_tools_machines.",,,,
55-3014.00,Artillery and Missile Crew Members,44.95,54.75,54.75,0.0,9.8,model_predicted,unmapped,55,,0.43,Moderate Increase,Medium,MEDIUM,High reliance on nlp_topic_tools_machines (value=0.02) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_maintenance_repair (value=0.02) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_medical_patients (value=0.00) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_customer_service_food (value=0.00) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_data_software (value=0.02) [Vulnerable to cognitive/routine automation],Low levels of nlp_topic_equipment_materials (value=0.04) [Lack of this reduces exposure to routine automation],High reliance on nlp_topic_education: students (value=0.00) [Provides some protection against standard automation],High reliance on nlp_topic_food_environmental (value=-0.00) [Provides some protection against standard automation],Low levels of task_avg_importance (value=4.00) [Lack of this reduces exposure to routine automation],Low levels of finger dexterity (value=2.75) [Lack of this reduces exposure to routine automation],"This occupation has MODERATE AI-task overlap (score: 55/100). Risk is driven by high levels of nlp_topic_tools_machines. Protection is primarily from a lack of nlp_topic_equipment_materials. Since 2013, risk has increased by 9.8 points, driven by changes in nlp_topic_tools_machines.",,,,
55-3013.00,Armored Assault Vehicle Crew Members,44.95,54.75,54.75,0.0,9.8,model_predicted,unmapped,55,,0.43,Moderate Increase,Medium,MEDIUM,High reliance on nlp_topic_tools_machines (value=0.02) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_maintenance_repair (value=0.02) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_medical_patients (value=0.00) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_customer_service_food (value=0.00) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_data_software (value=0.02) [Vulnerable to cognitive/routine automation],Low levels of nlp_topic_equipment_materials (value=0.04) [Lack of this reduces exposure to routine automation],High reliance on nlp_topic_education: students (value=0.00) [Provides some protection against standard automation],High reliance on nlp_topic_food_environmental (value=-0.00) [Provides some protection against standard automation],Low levels of task_avg_importance (value=4.00) [Lack of this reduces exposure to routine automation],Low levels of finger dexterity (value=2.75) [Lack of this reduces exposure to routine automation],"This occupation has MODERATE AI-task overlap (score: 55/100). Risk is driven by high levels of nlp_topic_tools_machines. Protection is primarily from a lack of nlp_topic_equipment_materials. Since 2013, risk has increased by 9.8 points, driven by changes in nlp_topic_tools_machines.",,,,
31-9099.00,"Healthcare Support Workers, All Other",44.95,54.75,54.75,0.0,9.8,model_predicted,group_avg,31,,0.43,Moderate Increase,Medium,MEDIUM,High reliance on nlp_topic_tools_machines (value=0.02) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_maintenance_repair (value=0.02) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_medical_patients (value=0.00) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_customer_service_food (value=0.00) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_data_software (value=0.02) [Vulnerable to cognitive/routine automation],Low levels of nlp_topic_equipment_materials (value=0.04) [Lack of this reduces exposure to routine automation],High reliance on nlp_topic_education: students (value=0.00) [Provides some protection against standard automation],High reliance on nlp_topic_food_environmental (value=-0.00) [Provides some protection against standard automation],Low levels of task_avg_importance (value=4.00) [Lack of this reduces exposure to routine automation],Low levels of finger dexterity (value=2.75) [Lack of this reduces exposure to routine automation],"This occupation has MODERATE AI-task overlap (score: 55/100). Risk is driven by high levels of nlp_topic_tools_machines. Protection is primarily from a lack of nlp_topic_equipment_materials. Since 2013, risk has increased by 9.8 points, driven by changes in nlp_topic_tools_machines.","Healthcare Support Workers, All Other",102230.0,44490.0,21.39
33-1099.00,"First-Line Supervisors of Protective Service Workers, All Other",44.95,54.75,54.75,0.0,9.8,model_predicted,group_avg,33,,0.43,Moderate Increase,Medium,MEDIUM,High reliance on nlp_topic_tools_machines (value=0.02) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_maintenance_repair (value=0.02) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_medical_patients (value=0.00) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_customer_service_food (value=0.00) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_data_software (value=0.02) [Vulnerable to cognitive/routine automation],Low levels of nlp_topic_equipment_materials (value=0.04) [Lack of this reduces exposure to routine automation],High reliance on nlp_topic_education: students (value=0.00) [Provides some protection against standard automation],High reliance on nlp_topic_food_environmental (value=-0.00) [Provides some protection against standard automation],Low levels of task_avg_importance (value=4.00) [Lack of this reduces exposure to routine automation],Low levels of finger dexterity (value=2.75) [Lack of this reduces exposure to routine automation],"This occupation has MODERATE AI-task overlap (score: 55/100). Risk is driven by high levels of nlp_topic_tools_machines. Protection is primarily from a lack of nlp_topic_equipment_materials. Since 2013, risk has increased by 9.8 points, driven by changes in nlp_topic_tools_machines.","First-Line Supervisors of Protective Service Workers, All Other",19620.0,65050.0,31.28
29-9099.00,"Healthcare Practitioners and Technical Workers, All Other",44.95,54.75,54.75,0.0,9.8,model_predicted,group_avg,29,,0.43,Moderate Increase,Medium,MEDIUM,High reliance on nlp_topic_tools_machines (value=0.02) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_maintenance_repair (value=0.02) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_medical_patients (value=0.00) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_customer_service_food (value=0.00) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_data_software (value=0.02) [Vulnerable to cognitive/routine automation],Low levels of nlp_topic_equipment_materials (value=0.04) [Lack of this reduces exposure to routine automation],High reliance on nlp_topic_education: students (value=0.00) [Provides some protection against standard automation],High reliance on nlp_topic_food_environmental (value=-0.00) [Provides some protection against standard automation],Low levels of task_avg_importance (value=4.00) [Lack of this reduces exposure to routine automation],Low levels of finger dexterity (value=2.75) [Lack of this reduces exposure to routine automation],"This occupation has MODERATE AI-task overlap (score: 55/100). Risk is driven by high levels of nlp_topic_tools_machines. Protection is primarily from a lack of nlp_topic_equipment_materials. Since 2013, risk has increased by 9.8 points, driven by changes in nlp_topic_tools_machines.","Healthcare Practitioners and Technical Workers, All Other",36900.0,63630.0,30.59
55-3012.00,Aircraft Launch and Recovery Specialists,44.95,54.75,54.75,0.0,9.8,model_predicted,unmapped,55,,0.43,Moderate Increase,Medium,MEDIUM,High reliance on nlp_topic_tools_machines (value=0.02) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_maintenance_repair (value=0.02) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_medical_patients (value=0.00) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_customer_service_food (value=0.00) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_data_software (value=0.02) [Vulnerable to cognitive/routine automation],Low levels of nlp_topic_equipment_materials (value=0.04) [Lack of this reduces exposure to routine automation],High reliance on nlp_topic_education: students (value=0.00) [Provides some protection against standard automation],High reliance on nlp_topic_food_environmental (value=-0.00) [Provides some protection against standard automation],Low levels of task_avg_importance (value=4.00) [Lack of this reduces exposure to routine automation],Low levels of finger dexterity (value=2.75) [Lack of this reduces exposure to routine automation],"This occupation has MODERATE AI-task overlap (score: 55/100). Risk is driven by high levels of nlp_topic_tools_machines. Protection is primarily from a lack of nlp_topic_equipment_materials. Since 2013, risk has increased by 9.8 points, driven by changes in nlp_topic_tools_machines.",,,,
55-3011.00,Air Crew Members,44.95,54.75,54.75,0.0,9.8,model_predicted,unmapped,55,,0.43,Moderate Increase,Medium,MEDIUM,High reliance on nlp_topic_tools_machines (value=0.02) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_maintenance_repair (value=0.02) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_medical_patients (value=0.00) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_customer_service_food (value=0.00) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_data_software (value=0.02) [Vulnerable to cognitive/routine automation],Low levels of nlp_topic_equipment_materials (value=0.04) [Lack of this reduces exposure to routine automation],High reliance on nlp_topic_education: students (value=0.00) [Provides some protection against standard automation],High reliance on nlp_topic_food_environmental (value=-0.00) [Provides some protection against standard automation],Low levels of task_avg_importance (value=4.00) [Lack of this reduces exposure to routine automation],Low levels of finger dexterity (value=2.75) [Lack of this reduces exposure to routine automation],"This occupation has MODERATE AI-task overlap (score: 55/100). Risk is driven by high levels of nlp_topic_tools_machines. Protection is primarily from a lack of nlp_topic_equipment_materials. Since 2013, risk has increased by 9.8 points, driven by changes in nlp_topic_tools_machines.",,,,
55-2013.00,First-Line Supervisors of All Other Tactical Operations Specialists,44.95,54.75,54.75,0.0,9.8,model_predicted,unmapped,55,,0.43,Moderate Increase,Medium,MEDIUM,High reliance on nlp_topic_tools_machines (value=0.02) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_maintenance_repair (value=0.02) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_medical_patients (value=0.00) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_customer_service_food (value=0.00) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_data_software (value=0.02) [Vulnerable to cognitive/routine automation],Low levels of nlp_topic_equipment_materials (value=0.04) [Lack of this reduces exposure to routine automation],High reliance on nlp_topic_education: students (value=0.00) [Provides some protection against standard automation],High reliance on nlp_topic_food_environmental (value=-0.00) [Provides some protection against standard automation],Low levels of task_avg_importance (value=4.00) [Lack of this reduces exposure to routine automation],Low levels of finger dexterity (value=2.75) [Lack of this reduces exposure to routine automation],"This occupation has MODERATE AI-task overlap (score: 55/100). Risk is driven by high levels of nlp_topic_tools_machines. Protection is primarily from a lack of nlp_topic_equipment_materials. Since 2013, risk has increased by 9.8 points, driven by changes in nlp_topic_tools_machines.",,,,
55-2012.00,First-Line Supervisors of Weapons Specialists/Crew Members,44.95,54.75,54.75,0.0,9.8,model_predicted,unmapped,55,,0.43,Moderate Increase,Medium,MEDIUM,High reliance on nlp_topic_tools_machines (value=0.02) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_maintenance_repair (value=0.02) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_medical_patients (value=0.00) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_customer_service_food (value=0.00) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_data_software (value=0.02) [Vulnerable to cognitive/routine automation],Low levels of nlp_topic_equipment_materials (value=0.04) [Lack of this reduces exposure to routine automation],High reliance on nlp_topic_education: students (value=0.00) [Provides some protection against standard automation],High reliance on nlp_topic_food_environmental (value=-0.00) [Provides some protection against standard automation],Low levels of task_avg_importance (value=4.00) [Lack of this reduces exposure to routine automation],Low levels of finger dexterity (value=2.75) [Lack of this reduces exposure to routine automation],"This occupation has MODERATE AI-task overlap (score: 55/100). Risk is driven by high levels of nlp_topic_tools_machines. Protection is primarily from a lack of nlp_topic_equipment_materials. Since 2013, risk has increased by 9.8 points, driven by changes in nlp_topic_tools_machines.",,,,
55-2011.00,First-Line Supervisors of Air Crew Members,44.95,54.75,54.75,0.0,9.8,model_predicted,unmapped,55,,0.43,Moderate Increase,Medium,MEDIUM,High reliance on nlp_topic_tools_machines (value=0.02) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_maintenance_repair (value=0.02) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_medical_patients (value=0.00) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_customer_service_food (value=0.00) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_data_software (value=0.02) [Vulnerable to cognitive/routine automation],Low levels of nlp_topic_equipment_materials (value=0.04) [Lack of this reduces exposure to routine automation],High reliance on nlp_topic_education: students (value=0.00) [Provides some protection against standard automation],High reliance on nlp_topic_food_environmental (value=-0.00) [Provides some protection against standard automation],Low levels of task_avg_importance (value=4.00) [Lack of this reduces exposure to routine automation],Low levels of finger dexterity (value=2.75) [Lack of this reduces exposure to routine automation],"This occupation has MODERATE AI-task overlap (score: 55/100). Risk is driven by high levels of nlp_topic_tools_machines. Protection is primarily from a lack of nlp_topic_equipment_materials. Since 2013, risk has increased by 9.8 points, driven by changes in nlp_topic_tools_machines.",,,,
55-1019.00,"Military Officer Special and Tactical Operations Leaders, All Other",44.95,54.75,54.75,0.0,9.8,model_predicted,unmapped,55,,0.43,Moderate Increase,Medium,MEDIUM,High reliance on nlp_topic_tools_machines (value=0.02) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_maintenance_repair (value=0.02) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_medical_patients (value=0.00) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_customer_service_food (value=0.00) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_data_software (value=0.02) [Vulnerable to cognitive/routine automation],Low levels of nlp_topic_equipment_materials (value=0.04) [Lack of this reduces exposure to routine automation],High reliance on nlp_topic_education: students (value=0.00) [Provides some protection against standard automation],High reliance on nlp_topic_food_environmental (value=-0.00) [Provides some protection against standard automation],Low levels of task_avg_importance (value=4.00) [Lack of this reduces exposure to routine automation],Low levels of finger dexterity (value=2.75) [Lack of this reduces exposure to routine automation],"This occupation has MODERATE AI-task overlap (score: 55/100). Risk is driven by high levels of nlp_topic_tools_machines. Protection is primarily from a lack of nlp_topic_equipment_materials. Since 2013, risk has increased by 9.8 points, driven by changes in nlp_topic_tools_machines.",,,,
29-2099.00,"Health Technologists and Technicians, All Other",44.95,54.75,54.75,0.0,9.8,model_predicted,group_avg,29,,0.43,Moderate Increase,Medium,MEDIUM,High reliance on nlp_topic_tools_machines (value=0.02) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_maintenance_repair (value=0.02) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_medical_patients (value=0.00) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_customer_service_food (value=0.00) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_data_software (value=0.02) [Vulnerable to cognitive/routine automation],Low levels of nlp_topic_equipment_materials (value=0.04) [Lack of this reduces exposure to routine automation],High reliance on nlp_topic_education: students (value=0.00) [Provides some protection against standard automation],High reliance on nlp_topic_food_environmental (value=-0.00) [Provides some protection against standard automation],Low levels of task_avg_importance (value=4.00) [Lack of this reduces exposure to routine automation],Low levels of finger dexterity (value=2.75) [Lack of this reduces exposure to routine automation],"This occupation has MODERATE AI-task overlap (score: 55/100). Risk is driven by high levels of nlp_topic_tools_machines. Protection is primarily from a lack of nlp_topic_equipment_materials. Since 2013, risk has increased by 9.8 points, driven by changes in nlp_topic_tools_machines.","Health Technologists and Technicians, All Other",171110.0,47470.0,22.82
55-1017.00,Special Forces Officers,44.95,54.75,54.75,0.0,9.8,model_predicted,unmapped,55,,0.43,Moderate Increase,Medium,MEDIUM,High reliance on nlp_topic_tools_machines (value=0.02) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_maintenance_repair (value=0.02) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_medical_patients (value=0.00) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_customer_service_food (value=0.00) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_data_software (value=0.02) [Vulnerable to cognitive/routine automation],Low levels of nlp_topic_equipment_materials (value=0.04) [Lack of this reduces exposure to routine automation],High reliance on nlp_topic_education: students (value=0.00) [Provides some protection against standard automation],High reliance on nlp_topic_food_environmental (value=-0.00) [Provides some protection against standard automation],Low levels of task_avg_importance (value=4.00) [Lack of this reduces exposure to routine automation],Low levels of finger dexterity (value=2.75) [Lack of this reduces exposure to routine automation],"This occupation has MODERATE AI-task overlap (score: 55/100). Risk is driven by high levels of nlp_topic_tools_machines. Protection is primarily from a lack of nlp_topic_equipment_materials. Since 2013, risk has increased by 9.8 points, driven by changes in nlp_topic_tools_machines.",,,,
55-1016.00,Infantry Officers,44.95,54.75,54.75,0.0,9.8,model_predicted,unmapped,55,,0.43,Moderate Increase,Medium,MEDIUM,High reliance on nlp_topic_tools_machines (value=0.02) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_maintenance_repair (value=0.02) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_medical_patients (value=0.00) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_customer_service_food (value=0.00) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_data_software (value=0.02) [Vulnerable to cognitive/routine automation],Low levels of nlp_topic_equipment_materials (value=0.04) [Lack of this reduces exposure to routine automation],High reliance on nlp_topic_education: students (value=0.00) [Provides some protection against standard automation],High reliance on nlp_topic_food_environmental (value=-0.00) [Provides some protection against standard automation],Low levels of task_avg_importance (value=4.00) [Lack of this reduces exposure to routine automation],Low levels of finger dexterity (value=2.75) [Lack of this reduces exposure to routine automation],"This occupation has MODERATE AI-task overlap (score: 55/100). Risk is driven by high levels of nlp_topic_tools_machines. Protection is primarily from a lack of nlp_topic_equipment_materials. Since 2013, risk has increased by 9.8 points, driven by changes in nlp_topic_tools_machines.",,,,
35-9099.00,"Food Preparation and Serving Related Workers, All Other",44.95,54.75,54.75,0.0,9.8,model_predicted,group_avg,35,,0.43,Moderate Increase,Medium,MEDIUM,High reliance on nlp_topic_tools_machines (value=0.02) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_maintenance_repair (value=0.02) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_medical_patients (value=0.00) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_customer_service_food (value=0.00) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_data_software (value=0.02) [Vulnerable to cognitive/routine automation],Low levels of nlp_topic_equipment_materials (value=0.04) [Lack of this reduces exposure to routine automation],High reliance on nlp_topic_education: students (value=0.00) [Provides some protection against standard automation],High reliance on nlp_topic_food_environmental (value=-0.00) [Provides some protection against standard automation],Low levels of task_avg_importance (value=4.00) [Lack of this reduces exposure to routine automation],Low levels of finger dexterity (value=2.75) [Lack of this reduces exposure to routine automation],"This occupation has MODERATE AI-task overlap (score: 55/100). Risk is driven by high levels of nlp_topic_tools_machines. Protection is primarily from a lack of nlp_topic_equipment_materials. Since 2013, risk has increased by 9.8 points, driven by changes in nlp_topic_tools_machines.","Food Preparation and Serving Related Workers, All Other",86350.0,33870.0,16.29
55-3019.00,"Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other",44.95,54.75,54.75,0.0,9.8,model_predicted,unmapped,55,,0.43,Moderate Increase,Medium,MEDIUM,High reliance on nlp_topic_tools_machines (value=0.02) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_maintenance_repair (value=0.02) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_medical_patients (value=0.00) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_customer_service_food (value=0.00) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_data_software (value=0.02) [Vulnerable to cognitive/routine automation],Low levels of nlp_topic_equipment_materials (value=0.04) [Lack of this reduces exposure to routine automation],High reliance on nlp_topic_education: students (value=0.00) [Provides some protection against standard automation],High reliance on nlp_topic_food_environmental (value=-0.00) [Provides some protection against standard automation],Low levels of task_avg_importance (value=4.00) [Lack of this reduces exposure to routine automation],Low levels of finger dexterity (value=2.75) [Lack of this reduces exposure to routine automation],"This occupation has MODERATE AI-task overlap (score: 55/100). Risk is driven by high levels of nlp_topic_tools_machines. Protection is primarily from a lack of nlp_topic_equipment_materials. Since 2013, risk has increased by 9.8 points, driven by changes in nlp_topic_tools_machines.",,,,
29-1299.00,"Healthcare Diagnosing or Treating Practitioners, All Other",44.95,54.75,54.75,0.0,9.8,model_predicted,group_avg,29,,0.43,Moderate Increase,Medium,MEDIUM,High reliance on nlp_topic_tools_machines (value=0.02) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_maintenance_repair (value=0.02) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_medical_patients (value=0.00) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_customer_service_food (value=0.00) [Vulnerable to cognitive/routine automation],High reliance on nlp_topic_data_software (value=0.02) [Vulnerable to cognitive/routine automation],Low levels of nlp_topic_equipment_materials (value=0.04) [Lack of this reduces exposure to routine automation],High reliance on nlp_topic_education: students (value=0.00) [Provides some protection against standard automation],High reliance on nlp_topic_food_environmental (value=-0.00) [Provides some protection against standard automation],Low levels of task_avg_importance (value=4.00) [Lack of this reduces exposure to routine automation],Low levels of finger dexterity (value=2.75) [Lack of this reduces exposure to routine automation],"This occupation has MODERATE AI-task overlap (score: 55/100). Risk is driven by high levels of nlp_topic_tools_machines. Protection is primarily from a lack of nlp_topic_equipment_materials. Since 2013, risk has increased by 9.8 points, driven by changes in nlp_topic_tools_machines.","Healthcare Diagnosing or Treating Practitioners, All Other",31100.0,107990.0,51.92
